Drug Name,Strength / Composition,Indication,Date of Approval,Firm Name
Relugolix,Relugolix 0.0000 Milligram (Mg),NA,16-OCT-2023,Zydus Lifesciences Limited
Relugolix,Relugolix 0.0000 Q.S.,NA,25-OCT-2024,Lewens Labs Pvt. Ltd. 
Relugolix - Bulk Drug,Relugolix 120.0000 Not Applicable (Na),NA,04-JUN-2025,MSN Laboratories Private Limited
Relugolix Tablets,Relugolix 120.0000 Milligram (Mg),For The Treatment Of Adult Patients With Advanced Prostate Cancer .,21-MAR-2024,BDR Pharmaceuticals International Pvt Ltd
Relugolix Tablets 120 Mg,Relugolix 120.0000 Milligram (Mg),Relugolix Is Indicated For The Treatment Of Adult Patients With Advanced Hormone-Sensitive Prostate Cancer.,09-JAN-2025,Alkem Laboratories Ltd. 
Relugolix Tablets 120 Mg,Relugolix 120.0000 Milligram (Mg),Relugolix Tablets 120 Mg Is Indicated For The Treatment Of Adult Patients With Advanced Prostate Cancer,16-OCT-2023,Zydus Lifesciences Limited
Relugolix Tablets 120 Mg,Relugolix 120.0000 Milligram (Mg),Indicated For The Treatment Of Adult Patients With Advanced Prostate Cancer.,01-JAN-2024,Sun Pharmaceutical Industries Limited
Remdesevir,Remdesivir 100.0000 Milligram (Mg),For The Treatment Of Coronavirus Disease 2019 (Covid-19) In Adults And Adolescents(Aged 12 Years And Older With Body Weight At Least 40 Kg) With Pneumonia Requiring Supplemental Oxygen,17-MAY-2021,HLL Lifecare Limited
Remdesivir,Remdesivir 100.0000 Milligram (Mg),Sars-Cov-2 Infection,12-JUN-2020,Klinera Global Services
Remdesivir,Remdesivir 100.0000 Milligram (Mg),NA,26-JUN-2020,HONOUR LAB LIMITED
Remdesivir,Remdesivir 100.0000 Milligram (Mg),NA,20-AUG-2020,Jubilant Generics Limited
Remdesivir,Remdesivir 100.0000 Milligram (Mg),NA,04-JAN-2021,Syngene International Limited
Remdesivir,"Remdesivir Ih 98.0000 %,Rds Iii 15.0000 %,Rds Iv 15.0000 %,Rds V 15.0000 %,Total Impurity 1.0000 %",NA,25-SEP-2020,SMS Pharmaceuticals Limited 
Remdesivir,Remdesivir 100.0000 Milligram (Mg),"Emergency Use Authorization (Eua) Of Remdesivir For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019  (Covid-19) In Adult And Children Hospitalized With Severe Disease. Severe Disease Is Defined As Patients With An Oxygen Saturation (Spo2) 94% On Room Air Or Requiring Supplemental Oxygen Or Requiring Mechanical Ventilation Or Requiring Extracorporeal Membrane Oxygenation (Ecmo). Specifically, Remdesivir Is Only Authorized For Hospitalized Adult And Pediatric Patients For Whom Use Of An Intravenous Agent Is Clinically Appropriate.",17-MAY-2021,HLL Lifecare Limited
Remdesivir,Remdesivir 100.0000 Milligram (Mg),Treatment Of Covid-19 Infection,26-APR-2021,Jubilant Generics Limited
Remdesivir,Remdesivir 100.0000 Milligram (Mg),Treatment Of Covid-19,26-APR-2021,Jubilant Generics Limited
Remdesivir,Remdesivir 100.0000 Milligram (Mg),Used In The Treatment Of Covid-19,04-MAY-2021,Jubilant Generics Limited
Remdesivir,Remdesivir 0.0000 Milligram (Mg),NA,07-AUG-2020,Zydus Lifesciences Limited
Remdesivir,Remdesivir 5.0000 Mg/Ml,Coronavirus Disease 2019 (Covid-19),27-MAY-2021,Klinera Global Services
Remdesivir,Remdesivir 95.0000 %,NA,07-AUG-2020,Cipla Limited
Remdesivir,Remdesivir 100.0000 Milligram (Mg),NA,14-JUL-2020,Mylan Laboratories Limited
Remdesivir,"Remdesivir 100.0000 Milligram (Mg),Sodium Salt Of Beta-Cyclodextrin Sulfobutyl Ether 3000.0000 Milligram (Mg),Sodium Hydroxide Or Hydrochloric Acid – Up To Ph 4.0 1.0000 Not Applicable (Na)","•	Treatment Of Coronavirus Disease 2019 (Covid-19) In Adults And Children,•	Treatment Of Viral Infections Of Various Etiologies, Such As: O	Coronaviruses (Mers And Sars Viruses). O	Ebola Virus, O	Marburg Virus, O	Respiratory Syncytial Virus, O	Junin Virus, O	Lassa Fever Virus, O	Nipah Virus, O	Hendra Virus.",02-JUN-2021,Tapadiya Interventional Technologies & Health Care LLP
Remdesivir,Remdesivir 20.0000 Ml,Sars-Cov-2 Infection,12-JUN-2020,Klinera Global Services
Remdesivir Api,Remdesivir 98.0000 %,NA,07-AUG-2020,Cipla Limited
Remdesivir Api,Remdesivir 95.0000 %,NA,25-SEP-2020,Cipla Limited
Remdesivir Api,Remdesivir 95.0000 %,NA,23-SEP-2021,Cipla Limited
Remdesivir Bulk,Remdesivir 100.0000 Milligram (Mg),NA,22-APR-2021,Syngene International Limited
Remdesivir Bulk Drug,Remdesivir 100.0000 Not Applicable (Na),NA,27-MAY-2021,M/s. MSN Life Sciences Private Limited
Remdesivir Concentrate Solution For Iv Infusion 5mg/Ml,Remdesivir 5.0000 Milligram (Mg),"For Treatment Of  Suspected Or Laboratory  Confirmed Corona Virus  Disease 2019 Covid19 In Adults And Children  Hospitalised With  Moderate To Severe  Disease.In Light Of Covid  19 Outbreak, For  Restricted Emergency Use  In The Country",27-MAY-2021,Alkem Laboratories Ltd. 
Remdesivir- Eva Pharma Concentrate,Remdesivir 100.0000 Milligram (Mg),Coronavirus Disease 2019 (Covid-19),04-MAY-2021,Klinera Global Services
Remdesivir For Injection,"Remdesivir 100.0000 Milligram (Mg),Excipients 0.0000 Q.S.",For The Treatment Of Adult Patients Hospitalized With Confirmed Severe Sars Cov 2 Infection With Pneumonia Requiring Supplemental Oxygen,04-NOV-2020,Syngene International Limited
Remdesivir For Injection,Remdesivir 100.0000 Milligram (Mg),NA,29-SEP-2020,Dr Reddys Laboratories Limited
Remdesivir For Injection 100mg,Remdesivir 100.0000 Milligram (Mg),Corona Virus Treatment,20-AUG-2020,Jubilant Generics Limited
Remdesivir For Injection 100mg,Remdesivir 100.0000 Milligram (Mg),Covid-19 Therapy,09-NOV-2020,Jubilant Generics Limited
Remdesivir For Injection 100 Mg,"Remdesivir 100.0000 Milligram (Mg),Excipients 0.0000 Q.S.",For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Severe Disease,20-APR-2021,Syngene International Limited
Remdesivir For Injection 100mg Per Vial,Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitalized With Moderate To Severe Disease,04-MAY-2021,Mylan Laboratories Limited
Remdesivir For Injection 100mg Per Vial,Remdesivir Injection 100.0000 Milligram (Mg),For Treatment Of Suspected Of Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitalized With Moderate To Severe Disease.,15-APR-2021,Mylan Laboratories Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalized With Moderate To Severe Disease.,17-MAY-2021,Cipla Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Severe Disease.,23-NOV-2020,Cipla Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir For Injection 100.0000 Mg Per Vial,For The Treatment Of Suspected Or Laboratory-Confirmed Corona Virus Disease 2019 Covid-19 In Adults And Children Hospitalised With Moderate To Severe Disease,15-APR-2021,Dr Reddys Laboratories Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir For Injection 100.0000 Mg Per Vial,For The Treatment Of Suspected Or Laboratory-Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitalised With Moderate And Severe Disease,11-NOV-2020,Dr Reddys Laboratories Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir 100.0000 Mg/Vial,For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitalized With Severe Disease.,30-SEP-2020,Mylan Laboratories Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Moderate To Severe Disease.,09-NOV-2020,Cipla Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Coronavirus Disease 2019 Covid 19 In Hospitalized Adult And Pediatric Patients,09-NOV-2020,Mylan Laboratories Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir 100.0000 Mg Per Vial,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitalised With Moderate To Severe Disease,16-AUG-2021,Dr Reddys Laboratories Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir 100.0000 Mg Per Vial,"Remdesivir Is Indicated For Treatment Of Patients Hospitalized With Suspected Or Laboratory Confirmed Sars-Cov-2 Infection And Severe Disease. Severe Disease Is Defined As Patients With An Oxygen Saturation (Spo2) ≤94% On Room Air Or Requiring Supplemental Oxygen Or Requiring Mechanical Ventilation Or Requiring Extracorporeal Membrane Oxygenation (Ecmo). Specifically, Remdesivir Is Only Authorized For Hospitalized Adult And Pediatric Patients For Whom Use Of An Intravenous Agent Is Clinically Appropriate.",28-AUG-2020,Cipla Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir For Injection 100.0000 Mg Per Vial,For The Treatment Of Suspected Or Laboratory-Confirmed Corona Virus Disease 2019 Covid-19 In Adults And Children Hospitalised With Moderate To Severe Disease,20-APR-2021,Dr Reddys Laboratories Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir 100.0000 Mg Per Vial,"Remdesivir Is Indicated For Treatment Of Patients Hospitalized With Suspected Or Laboratory Confirmed Sars-Cov-2 Infection And Severe Disease. Severe Disease Is Defined As Patients With An Oxygen Saturation (Spo2) ≤94% On Room Air Or Requiring Supplemental Oxygen Or Requiring Mechanical Ventilation Or Requiring Extracorporeal Membrane Oxygenation (Ecmo). Specifically, Remdesivir Is Only Authorized For Hospitalized Adult And Pediatric Patients For Whom Use Of An Intravenous Agent Is Clinically Appropriate.",07-AUG-2020,Cipla Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir For Injection 100.0000 Mg Per Vial,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitalised With Moderate To Severe Disease,30-JUL-2021,Dr Reddys Laboratories Limited
Remdesivir For Injection 100 Mg Per Vial,Remdesivir For Injection 100.0000 Mg Per Vial,For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitalized With Moderate To Severe Disease,08-APR-2021,Dr Reddys Laboratories Limited
Remdesivir For Injection 100mg/Vial,Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitalised With Severe Disease,28-SEP-2020,Zydus Lifesciences Limited
Remdesivir For Injection 100mg/Vial,Remdesivir For Injection 100.0000 Mg Per Vial,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19,23-SEP-2021,Hetero Labs Limited
Remdesivir For Injection 100mg/Vial,Remdesivir For Injection 100mg Per Vial 100.0000 Mg Per Vial,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Severe Disease,23-NOV-2020,Hetero Labs Limited
Remdesivir For Injection 100mg/Vial,Remdesivir For Injection 100mg/Vial 100.0000 Mg Per Vial,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19,30-JUL-2021,Hetero Labs Limited
Remdesivir For Injection 100mg/Vial,Remdesivir For Injection 100.0000 Mg/Vial,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19,27-MAY-2021,Hetero Labs Limited
Remdesivir For Injection 100mg/Vial,Remdesivir For Injection 100mg/Vial 100.0000 Mg/Vial,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitalised With Moderato To Severe Disease,09-NOV-2020,Hetero Labs Limited
Remdesivir For Injection 100mg/Vial,Remdesivir For Injection 100mg/Vial 100.0000 Mg/Vial,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19,26-APR-2021,Hetero Labs Limited
Remdesivir For Injection 100mg/Vial,Remdesevir 100.0000 Mg/Vial,For The Treatment Of Suspected Or Laboratory  Confirmed Corona Virus Disease 2019 Covid19  In  Adults And Children Hospitilised With Severe Disease,17-SEP-2020,Hetero Labs Limited
Remdesivir For Injection 100mg/Vial,Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalized With Moderate To Severe Disease.,15-SEP-2021,Cipla Limited
Remdesivir For Injection 100mg/Vial,Remdesivir 100.0000 Mg/Vial,"Remdesivir Is Indicated For The Treatment Of Adult And Paediatric Patients With Severe Covid19 Hospitalization Requiring Supplemental Oxygen, Noninvasive Ventilation Highflow Oxygen Devices Invasive Mechanical Ventilation Or Ecmo Confirmed By Polymerase Chain Reaction Pcr Or Who Have Known Contact With A Confirmed Case Of Covid19 With Pcr Pending.",26-JUN-2020,Hetero Labs Limited
Remdesivir For Injection 100 Mg/Vial,Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Severe Disease.,21-SEP-2020,Cipla Limited
Remdesivir For Injection 100 Mg/Vial,Remdesivir For Injection 100.0000 Mg/Vial,	For Treatment Of Patients Hospitalized With Suspected Or Laboratory Confirmed Sars-Cov-2 Infection And Severe Disease.  	Severe Disease Is Defined As Patients With An Oxygen Saturation (Spo2) ≤94% On Room Air Or Requiring Supplemental Oxygen Or Requiring Mechanical Ventilation Or Requiring Extracorporeal Membrane Oxygenation (Ecmo).,29-SEP-2020,Dr Reddys Laboratories Limited
Remdesivir For Injection 100 Mg/Vial,"Remdesivir 100.0000 Milligram (Mg),Excipients 0.0000 Q.S.",For Treatment Of Suspected Or Laboratoryconfirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised Withsevere Disease,04-MAY-2021,Syngene International Limited
Remdesivir For Injection 100 Mg/Vial,"Remdesivir 100.0000 Milligram (Mg),Excipients 0.0000 Q.S.",For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Severe Disease,26-APR-2021,Syngene International Limited
Remdesivir For Injection 100 Mg/Vial,"Remdesivir 100.0000 Milligram (Mg),Excipients 0.0000 Q.S.",For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Severe Disease,25-JAN-2021,Syngene International Limited
Remdesivir For Injection 100mg/Vial (Lyophilized),Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalized With Moderate To Severe Disease.,20-APR-2021,Cipla Limited
Remdesivir For Injection 100mg/Vial (Lyophilized),Remdesivir 100.0000 Milligram (Mg),Treatment Of Covid-19 Infection,21-SEP-2021,Jubilant Generics Limited
Remdesivir For Injection 100mg/Vial (Lyophilized),Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Moderate To Severe Disease.,15-NOV-2021,Cipla Limited
Remdesivir For Injection 100mg/Vial (Lyophilized Powder),Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Severe Disease,07-AUG-2020,Zydus Lifesciences Limited
Remdesivir For Injection 100mg/Vial (Lyophilized Powder),Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Moderate To Severe Disease,17-MAY-2021,Zydus Lifesciences Limited
Remdesivir For Injection 100mg/Vial (Lyophilized Powder),Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Severe Disease,16-DEC-2020,Zydus Lifesciences Limited
Remdesivir For Injection 100mg/Vial (Lyophilized Powder),Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Moderate And Severe Disease,15-APR-2021,Zydus Lifesciences Limited
Remdesivir For Injection 100mg/Vial (Lyophilized Powder),Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Moderate To Severe Disease,16-AUG-2021,Zydus Lifesciences Limited
Remdesivir For Injection 100mg/Vial (Lyophilized Powder),Remdesivir 100.0000 Milligram (Mg),For Treatment Of Suspected Or Laboratory Confirmed Coronavirus Disease 2019 (Covid-19) In Hospitalized Adult And Pediatric Patients,09-NOV-2020,Zydus Lifesciences Limited
Remdesivir Ih,"Remdesivir 98.0000 %,Rds Iii 0.1500 %,Rds Iv 0.1500 %,Rds V 15.0000 %,Any Other Impurity 10.0000 %,Total Impurity 1.0000 %",NA,18-MAY-2021,SMS Pharmaceuticals Limited 
Remdesivir Ih,"Remdesivir 98.0000 %,Rds Iii 0.1500 %,Rds Iv 0.1500 %,Rds V 0.1500 %,Any Other Impurity 0.1000 %,Total Impurity 1.0000 %",NA,17-MAY-2021,SMS Pharmaceuticals Limited 
Remdesivir Injection 100mg/20ml,Remdesivir 100.0000 Mg/20ml,"Remdesivir Is Authorized For Use Under An Eua (Emergency Use Authorization) For Treatment Of Patients Hospitalized With Suspected Or Laboratory Confirmed Sars-Cov2 Infection And Severe Disease. Severe Disease Is Defined As Patients With An Oxygen Saturation (Spo2) ≤94% On Room Air Or Requiring Supplemental Oxygen Or Requiring Mechanical Ventilation Or Requiring Extracorporeal Membrane Oxygenation (Ecmo). Specifically, Remdesivir Is Only Authorized For Hospitalized Adult And Pediatric Patients For Whom Use Of An Intravenous (Iv) Agent Is Clinically Appropriate",22-APR-2021,Hetero Labs Limited
Remdesivir Injection 100mg/20ml,Remdesivir Injection 100.0000 Mg/20ml,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitilazied With Severe Disease,26-APR-2021,Hetero Labs Limited
Remdesivir Injection 100mg/20ml,Remdesivir Injection 100.0000 Mg/20ml,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitilazied With Severe Disease,28-MAY-2021,Hetero Labs Limited
Remdesivir Injection 100mg/20ml,Remdesivir 100.0000 Mg/20ml,For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalised With Moderate To Severe Disease,20-APR-2021,Zydus Lifesciences Limited
Remdesivir Injection 100mg/20ml,Remdesivir 100.0000 Mg/20ml,For The Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 Covid 19 In Adults And Children Hospitalised With Severe Disease,06-OCT-2020,Hetero Labs Limited
Remdesivir Injection 100mg/20ml,Remdesivir 5.0000 Mg/Ml,Anti Covid,04-MAY-2021,Jubilant Generics Limited
Remdesivir Injection 100mg/20ml,Remdesivir 100.0000 Mg/20ml,For Treatment Of Suspected Or Laboratory Confirmed Corona Virus Disease 2019 (Covid-19) In Adults And Children Hospitalized With Moderate To Severe Disease,20-APR-2021,Zydus Lifesciences Limited
